datetime,R5,R4,R3,Pivot,S3,S4,S5,open,high,low,close,dayVolume
11-01-2022 12:01,317.4487801,311.6975,308.27375,306.6,301.42625,298.0025,292.2512199,309,309.8,299,306.1,84445
12-01-2022 12:01,317.1564548,312.04,309.07,304.9666667,303.13,300.16,295.0435452,309,309,298,299.1,93416
13-01-2022 12:01,310.140604,305.15,302.125,302.0333333,296.075,293.05,288.059396,299.25,306.9,297.1,302.75,103297
14-01-2022 12:01,312.7363682,308.14,305.445,302.25,300.055,297.36,292.7636318,298.55,305,298,299.85,58447
17-01-2022 12:01,306.8934564,303.7,301.775,300.95,297.925,296,292.8065436,299.85,308,299.85,301.05,108018
18-01-2022 12:01,309.2326163,305.5325,303.29125,302.9666667,298.80875,296.5675,292.8673837,305.95,305.95,287,290.55,119339
19-01-2022 12:01,309.734399,300.9725,295.76125,294.5,285.33875,280.1275,271.365601,295,305.05,285.5,304.9,269402
20-01-2022 12:01,325.7784413,315.6525,310.27625,298.4833333,299.52375,294.1475,284.0215587,310,319,305.15,306.85,136406
21-01-2022 12:01,320.7771588,314.4675,310.65875,310.3333333,303.04125,299.2325,292.9228412,309,312,301.1,304.35,68922
24-01-2022 12:01,315.3676519,310.345,307.3475,305.8166667,301.3525,298.355,293.3323481,307.7,311.4,289.15,293.35,128578
25-01-2022 12:01,315.9231887,305.5875,299.46875,297.9666667,287.23125,281.1125,270.7768113,308,308,292.1,296.75,62723
27-01-2022 12:01,312.9031154,305.495,301.1225,298.95,292.3775,288.005,280.5968846,288,295.9,288,291.5,31075
28-01-2022 12:01,299.4960069,295.845,293.6725,291.8,289.3275,287.155,283.5039931,303,305,290,291.5,142773
31-01-2022 12:01,306.5775862,299.75,295.625,295.5,287.375,283.25,276.4224138,304.85,304.85,291,292,34597
01-02-2022 12:02,305.8975945,299.6175,295.80875,295.95,288.19125,284.3825,278.1024055,299,306.6,286,294.1,233127
02-02-2022 12:02,315.2834266,305.43,299.765,295.5666667,288.435,282.77,272.9165734,294.5,295.7,279.55,285.55,96084
03-02-2022 12:02,302.0466285,294.4325,289.99125,286.9333333,281.10875,276.6675,269.0533715,287.4,297,273.4,285.8,164425
04-02-2022 12:02,310.4703731,298.78,292.29,285.4,279.31,272.82,261.1296269,285,294,281.45,286.55,173557
07-02-2022 12:02,299.3274116,293.4525,290.00125,287.3333333,283.09875,279.6475,273.7725884,305,319,263.05,311.25,577632
08-02-2022 12:02,377.4520053,342.0225,326.63625,297.7666667,295.86375,280.4775,245.0479947,315.8,324.4,298.3,310.85,333255
09-02-2022 12:02,338.0480724,325.205,318.0275,311.1833333,303.6725,296.495,283.6519276,312.9,326.35,309.25,322.95,197652
10-02-2022 12:02,340.8075424,332.355,327.6525,319.5166667,318.2475,313.545,305.0924576,327.4,345.8,325,338.8,259787
11-02-2022 12:02,360.4832,350.24,344.52,336.5333333,333.08,327.36,317.1168,344.9,347.9,324.05,327.75,200281
14-02-2022 12:02,351.8723191,340.8675,334.30875,333.2333333,321.19125,314.6325,303.6276809,324.35,324.35,289.9,294.8,335957
15-02-2022 12:02,329.832287,313.7475,304.27375,303.0166667,285.32625,275.8525,259.767713,299,304.9,280,295.85,241737
16-02-2022 12:02,322.1595179,309.545,302.6975,293.5833333,289.0025,282.155,269.5404821,298,303.25,291,294.9,174061
17-02-2022 12:02,307.3141753,301.6375,298.26875,296.3833333,291.53125,288.1625,282.4858247,303,303,282.5,284.4,170738
18-02-2022 12:02,305.0378761,295.675,290.0375,289.9666667,278.7625,273.125,263.7621239,284.95,293.4,280,285.55,64702
21-02-2022 12:02,299.2156071,292.92,289.235,286.3166667,281.865,278.18,271.8843929,280,282.25,255.65,269.15,131377
22-02-2022 12:02,297.1546548,283.78,276.465,269.0166667,261.835,254.52,241.1453452,258,263.15,242.9,257.45,179498
23-02-2022 12:02,278.9129992,268.5875,263.01875,254.5,251.88125,246.3125,235.9870008,257,308.9,257,266.7,64546
24-02-2022 12:02,320.5588716,295.245,280.9725,277.5333333,252.4275,238.155,212.8411284,255,255.15,215.5,233.6,268789
25-02-2022 12:02,276.580232,255.4075,244.50375,234.75,222.69625,211.7925,190.619768,241,252.5,238.25,240.65,167983
28-02-2022 12:02,255.0435467,248.4875,244.56875,243.8,236.73125,232.8125,226.2564533,234,242.9,233.85,239.25,102198
02-03-2022 12:03,248.5089801,244.2275,241.73875,238.6666667,236.76125,234.2725,229.9910199,239,246.15,231.05,239.85,75805
03-03-2022 12:03,255.5251136,248.155,244.0025,239.0166667,235.6975,231.545,224.1748864,244.7,253.4,241,249.75,105519
04-03-2022 12:03,262.6002075,256.57,253.16,248.05,246.34,242.93,236.8997925,251.7,251.7,241.05,242.4,88043
